2021-05-29 12:54:39,421 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project03/src/main/java
2021-05-29 12:54:39,422 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Project03/src/main/resources
2021-05-29 12:54:39,422 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project03/src/test/java
2021-05-29 12:54:40,699 [Worker-40] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Project03
2021-05-29 12:54:40,706 [Worker-40] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2021-05-29 12:54:44,871 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:54:44,873 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-05-29 12:54:44,885 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:54:44,895 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project03 new\Project03\src\test\resources
2021-05-29 12:54:44,895 [Worker-45] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Project03
2021-05-29 12:54:44,895 [Worker-45] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Project03
2021-05-29 12:54:44,904 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:59:17,040 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:59:17,045 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-05-29 12:59:17,046 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:59:17,372 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project03 new\Project03\src\test\resources
2021-05-29 12:59:35,197 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:59:35,202 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-05-29 12:59:35,203 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
